,player_id,batsman,line,length,runs_scored,balls_faced,dismissals,batting_average,batting_strike_rate,Country
494,379140,Devon Conway,ON_THE_STUMPS,SHORT_OF_A_GOOD_LENGTH,262,233,4,65.5,112.45,New Zealand
495,277906,Kane Williamson,ON_THE_STUMPS,SHORT_OF_A_GOOD_LENGTH,269,233,8,33.62,115.45,New Zealand
496,299572,Sikandar Raza,OUTSIDE_OFFSTUMP,SHORT_OF_A_GOOD_LENGTH,339,232,13,26.08,146.12,Zimbabwe
497,35582,Robin Uthappa,OUTSIDE_OFFSTUMP,SHORT_OF_A_GOOD_LENGTH,309,232,7,44.14,133.19,India
498,232359,Colin Munro,DOWN_LEG,GOOD_LENGTH,233,232,8,29.12,100.43,New Zealand
499,337790,Rassie van der Dussen,OUTSIDE_OFFSTUMP,SHORT_OF_A_GOOD_LENGTH,259,232,4,64.75,111.64,South Africa
500,8917,Moeen Ali,ON_THE_STUMPS,SHORT_OF_A_GOOD_LENGTH,330,232,9,36.67,142.24,England
501,398439,Karun Nair,OUTSIDE_OFFSTUMP,GOOD_LENGTH,272,231,14,19.43,117.75,India
502,56029,Mushfiqur Rahim,OUTSIDE_OFFSTUMP,FULL,277,231,7,39.57,119.91,Bangladesh
503,8917,Moeen Ali,OUTSIDE_OFFSTUMP,FULL,382,231,12,31.83,165.37,England
504,333066,Johnson Charles,ON_THE_STUMPS,FULL,265,231,17,15.59,114.72,West Indies
505,536936,Litton Das,ON_THE_STUMPS,FULL,305,229,9,33.89,133.19,Bangladesh
506,1119026,Devdutt Padikkal,OUTSIDE_OFFSTUMP,GOOD_LENGTH,236,229,10,23.6,103.06,India
507,784367,Charith Asalanka,ON_THE_STUMPS,GOOD_LENGTH,216,229,13,16.62,94.32,Sri Lanka
508,465793,Dhananjaya de Silva,OUTSIDE_OFFSTUMP,GOOD_LENGTH,234,229,10,23.4,102.18,Sri Lanka
509,276298,Andre Russell,ON_THE_STUMPS,FULL,506,229,14,36.14,220.96,West Indies
510,259410,Ahmed Shehzad,ON_THE_STUMPS,GOOD_LENGTH,212,228,9,23.56,92.98,Pakistan
511,5236,Callum Ferguson,OUTSIDE_OFFSTUMP,GOOD_LENGTH,246,228,7,35.14,107.89,Australia
512,355269,James Neesham,OUTSIDE_OFFSTUMP,GOOD_LENGTH,294,227,16,18.38,129.52,New Zealand
