,player_id,batsman,shot,runs_scored,balls_faced,dismissals,batting_average,batting_strike_rate
251,602155,Tom Alsop,VERTICAL_FORWARD_ATTACK,563,436,25,22.52,129.13
252,347661,Luis Reece,VERTICAL_FORWARD_ATTACK,559,503,29,19.28,111.13
253,25913,Mohammad Nabi,ON_DRIVE,559,381,34,16.44,146.72
254,669365,Phil Salt,ON_DRIVE,558,355,13,42.92,157.18
255,308967,Jos Buttler,VERTICAL_FORWARD_ATTACK,558,391,15,37.2,142.71
256,820351,Rovman Powell,SLOG_SHOT,557,219,24,23.21,254.34
257,230193,Matthew Wade,FLICK,556,433,13,42.77,128.41
258,379143,Quinton de Kock,CUT_SHOT,555,509,20,27.75,109.04
259,227758,Imad Wasim,ON_DRIVE,553,364,22,25.14,151.92
260,296597,James Vince,ON_DRIVE,553,388,14,39.5,142.53
261,625371,Hardik Pandya,PULL,553,276,20,27.65,200.36
262,230559,Kieron Pollard,SLOG_SHOT,550,269,46,11.96,204.46
263,669365,Phil Salt,PULL_HOOK_ON_BACK_FOOT,550,246,15,36.67,223.58
264,46148,Richard Levi,VERTICAL_FORWARD_ATTACK,549,426,23,23.87,128.87
265,249866,Alex Hales,PULL_HOOK_ON_BACK_FOOT,548,223,12,45.67,245.74
266,318845,Rilee Rossouw,ON_DRIVE,548,325,14,39.14,168.62
267,23460,Luke Wright,PULL_HOOK_ON_BACK_FOOT,546,262,14,39.0,208.4
268,431901,Evin Lewis,COVER_DRIVE,546,314,12,45.5,173.89
269,33141,Ambati Rayudu,ON_DRIVE,545,381,17,32.06,143.04
270,318845,Rilee Rossouw,VERTICAL_FORWARD_ATTACK,544,345,15,36.27,157.68
271,211855,Liam Dawson,VERTICAL_FORWARD_ATTACK,543,416,18,30.17,130.53
272,512191,Fakhar Zaman,FLICK,543,480,8,67.88,113.12
273,297498,Ian Cockbain,PULL_HOOK_ON_BACK_FOOT,542,261,16,33.88,207.66
274,34102,Rohit Sharma,SLOG_SHOT,541,229,32,16.91,236.24
275,931581,Rishabh Pant,SLOG_SHOT,541,246,38,14.24,219.92
276,51862,Andre Fletcher,CUT_SHOT,539,413,15,35.93,130.51
277,53116,Lendl Simmons,PULL,536,241,16,33.5,222.41
278,56194,Tamim Iqbal,FLICK,536,529,15,35.73,101.32
279,5334,Aaron Finch,CUT_SHOT,536,417,13,41.23,128.54
280,892749,Tim David,COVER_DRIVE,536,324,11,48.73,165.43
281,600498,Aiden Markram,ON_DRIVE,535,435,10,53.5,122.99
282,422593,Daniel Bell-Drummond,PULL_HOOK_ON_BACK_FOOT,534,264,14,38.14,202.27
283,221140,David Wiese,VERTICAL_FORWARD_ATTACK,529,361,23,23.0,146.54
284,34102,Rohit Sharma,CUT_SHOT,529,380,11,48.09,139.21
285,436757,Heinrich Klaasen,PULL,529,209,13,40.69,253.11
286,236489,Dawid Malan,FLICK,528,494,13,40.62,106.88
287,51880,Chris Gayle,SLOG_SHOT,527,218,22,23.95,241.74
288,308798,D'Arcy Short,PULL,526,287,21,25.05,183.28
289,8917,Moeen Ali,COVER_DRIVE,524,339,19,27.58,154.57
290,625371,Hardik Pandya,COVER_DRIVE,524,370,4,131.0,141.62
291,348056,Kyle Mayers,PULL,524,241,21,24.95,217.43
292,974087,Rahmanullah Gurbaz,PULL,524,203,17,30.82,258.13
293,46270,Johann Myburgh,VERTICAL_FORWARD_ATTACK,521,338,17,30.65,154.14
294,603410,Ben McDermott,PULL,520,206,10,52.0,252.43
295,315586,Chadwick Walton,ON_DRIVE,520,336,21,24.76,154.76
296,333066,Johnson Charles,FLICK,519,472,9,57.67,109.96
297,403902,Liam Livingstone,PULL,519,217,22,23.59,239.17
298,5961,Moises Henriques,PULL,519,221,10,51.9,234.84
299,451782,James Fuller,VERTICAL_FORWARD_ATTACK,518,344,21,24.67,150.58
300,24598,Eoin Morgan,ON_DRIVE,517,346,14,36.93,149.42
301,269280,Reeza Hendricks,COVER_DRIVE,515,275,8,64.38,187.27
